make,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,highway-mpg,price
alfa-romero,std,two,convertible,rwd,front,88.6,0.811148486,0.890277778,48.8,2548,dohc,four,130,mpfi,3.47,2.68,9,111,5000,27,13495
alfa-romero,std,two,convertible,rwd,front,88.6,0.811148486,0.890277778,48.8,2548,dohc,four,130,mpfi,3.47,2.68,9,111,5000,27,16500
alfa-romero,std,two,hatchback,rwd,front,94.5,0.822681403,0.909722222,52.4,2823,ohcv,six,152,mpfi,2.68,3.47,9,154,5000,26,16500
audi,std,four,sedan,fwd,front,99.8,0.848630466,0.919444444,54.3,2337,ohc,four,109,mpfi,3.19,3.4,10,102,5500,30,13950
audi,std,four,sedan,4wd,front,99.4,0.848630466,0.922222222,54.3,2824,ohc,five,136,mpfi,3.19,3.4,8,115,5500,22,17450
audi,std,two,sedan,fwd,front,99.8,0.851994234,0.920833333,53.1,2507,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,25,15250
audi,std,four,sedan,fwd,front,105.8,0.925997117,0.991666667,55.7,2844,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,25,17710
audi,std,four,wagon,fwd,front,105.8,0.925997117,0.991666667,55.7,2954,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,25,18920
audi,turbo,four,sedan,fwd,front,105.8,0.925997117,0.991666667,55.9,3086,ohc,five,131,mpfi,3.13,3.4,8.3,140,5500,20,23875
bmw,std,two,sedan,rwd,front,101.2,0.849591543,0.9,54.3,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800,29,16430
bmw,std,four,sedan,rwd,front,101.2,0.849591543,0.9,54.3,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800,29,16925
bmw,std,two,sedan,rwd,front,101.2,0.849591543,0.9,54.3,2710,ohc,six,164,mpfi,3.31,3.19,9,121,4250,28,20970
bmw,std,four,sedan,rwd,front,101.2,0.849591543,0.9,54.3,2765,ohc,six,164,mpfi,3.31,3.19,9,121,4250,28,21105
bmw,std,four,sedan,rwd,front,103.5,0.908217203,0.929166667,55.7,3055,ohc,six,164,mpfi,3.31,3.19,9,121,4250,25,24565
bmw,std,four,sedan,rwd,front,103.5,0.908217203,0.929166667,55.7,3230,ohc,six,209,mpfi,3.62,3.39,8,182,5400,22,30760
bmw,std,two,sedan,rwd,front,103.5,0.931283037,0.943055556,53.7,3380,ohc,six,209,mpfi,3.62,3.39,8,182,5400,22,41315
bmw,std,four,sedan,rwd,front,110,0.946660259,0.984722222,56.3,3505,ohc,six,209,mpfi,3.62,3.39,8,182,5400,20,36880
chevrolet,std,two,hatchback,fwd,front,88.4,0.678039404,0.8375,53.2,1488,l,three,61,2bbl,2.91,3.03,9.5,48,5100,53,5151
chevrolet,std,two,hatchback,fwd,front,94.5,0.749159058,0.883333333,52,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,43,6295
chevrolet,std,four,sedan,fwd,front,94.5,0.763094666,0.883333333,52,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,43,6575
dodge,std,two,hatchback,fwd,front,93.7,0.755886593,0.886111111,50.8,1876,ohc,four,90,2bbl,2.97,3.23,9.41,68,5500,41,5572
dodge,std,two,hatchback,fwd,front,93.7,0.755886593,0.886111111,50.8,1876,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,38,6377
dodge,turbo,two,hatchback,fwd,front,93.7,0.755886593,0.886111111,50.8,2128,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500,30,7957
dodge,std,four,hatchback,fwd,front,93.7,0.755886593,0.886111111,50.6,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,38,6229
dodge,std,four,sedan,fwd,front,93.7,0.755886593,0.886111111,50.6,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,38,6692
dodge,std,four,sedan,fwd,front,93.7,0.755886593,0.886111111,50.6,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,38,7609
dodge,turbo,,sedan,fwd,front,93.7,0.755886593,0.886111111,50.6,2191,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500,30,8558
dodge,std,four,wagon,fwd,front,103.3,0.839019702,0.897222222,59.8,2535,ohc,four,122,2bbl,3.34,3.46,8.5,88,5000,30,8921
dodge,turbo,two,hatchback,fwd,front,95.9,0.832292167,0.920833333,50.2,2811,ohc,four,156,mfi,3.6,3.9,7,145,5000,24,12964
honda,std,two,hatchback,fwd,front,86.6,0.694858241,0.8875,50.8,1713,ohc,four,92,1bbl,2.91,3.41,9.6,58,4800,54,6479
honda,std,two,hatchback,fwd,front,86.6,0.694858241,0.8875,50.8,1819,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,38,6855
honda,std,two,hatchback,fwd,front,93.7,0.720807304,0.888888889,52.6,1837,ohc,four,79,1bbl,2.91,3.07,10.1,60,5500,42,5399
honda,std,two,hatchback,fwd,front,93.7,0.720807304,0.888888889,52.6,1940,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,34,6529
honda,std,two,hatchback,fwd,front,93.7,0.720807304,0.888888889,52.6,1956,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,34,7129
honda,std,four,sedan,fwd,front,96.5,0.785199423,0.888888889,54.5,2010,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,34,7295
honda,std,four,wagon,fwd,front,96.5,0.754925517,0.8875,58.3,2024,ohc,four,92,1bbl,2.92,3.41,9.2,76,6000,34,7295
honda,std,two,hatchback,fwd,front,96.5,0.80490149,0.905555556,53.3,2236,ohc,four,110,1bbl,3.15,3.58,9,86,5800,33,7895
honda,std,two,hatchback,fwd,front,96.5,0.80490149,0.905555556,53.3,2289,ohc,four,110,1bbl,3.15,3.58,9,86,5800,33,9095
honda,std,four,sedan,fwd,front,96.5,0.842864008,0.905555556,54.1,2304,ohc,four,110,1bbl,3.15,3.58,9,86,5800,33,8845
honda,std,four,sedan,fwd,front,96.5,0.842864008,0.868055556,54.1,2372,ohc,four,110,1bbl,3.15,3.58,9,86,5800,33,10295
honda,std,four,sedan,fwd,front,96.5,0.842864008,0.905555556,54.1,2465,ohc,four,110,mpfi,3.15,3.58,9,101,5800,28,12945
honda,std,two,sedan,fwd,front,96.5,0.812590101,0.916666667,51,2293,ohc,four,110,2bbl,3.15,3.58,9.1,100,5500,31,10345
isuzu,std,four,sedan,rwd,front,94.3,0.820278712,0.858333333,53.5,2337,ohc,four,111,2bbl,3.31,3.23,8.5,78,4800,29,6785
isuzu,std,two,hatchback,rwd,front,96,0.829408938,0.905555556,51.4,2734,ohc,four,119,spfi,3.43,3.23,9.2,90,5000,29,11048
jaguar,std,four,sedan,rwd,front,113,0.959154253,0.966666667,52.8,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750,19,32250
