make,aspiration,num-of-doors,body-style,drive-wheels,engine-location,engine-type,num-of-cylinders,fuel-system,aspiration_cat,num-of-doors_cat,body-style_cat,drive-wheels_cat,engine-location_cat,num-of-cylinders_cat,wheel-base,length,width,height,curb-weight,engine-size,bore,stroke,compression-ratio,horsepower,peak-rpm,highway-mpg,price
alfa-romero,std,two,convertible,rwd,front,dohc,four,mpfi,0,1,0,2,0,2,88.6,0.811148486,0.890277778,48.8,2548.0,130.0,3.47,2.68,9.0,111.0,5000.0,27.0,13495.0
alfa-romero,std,two,convertible,rwd,front,dohc,four,mpfi,0,1,0,2,0,2,88.6,0.811148486,0.890277778,48.8,2548.0,130.0,3.47,2.68,9.0,111.0,5000.0,27.0,16500.0
alfa-romero,std,two,hatchback,rwd,front,ohcv,six,mpfi,0,1,2,2,0,3,94.5,0.822681403,0.909722222,52.4,2823.0,152.0,2.68,3.47,9.0,154.0,5000.0,26.0,16500.0
audi,std,four,sedan,fwd,front,ohc,four,mpfi,0,0,3,1,0,2,99.8,0.848630466,0.919444444,54.3,2337.0,109.0,3.19,3.4,10.0,102.0,5500.0,30.0,13950.0
audi,std,four,sedan,4wd,front,ohc,five,mpfi,0,0,3,0,0,1,99.4,0.848630466,0.922222222,54.3,2824.0,136.0,3.19,3.4,8.0,115.0,5500.0,22.0,17450.0
audi,std,two,sedan,fwd,front,ohc,five,mpfi,0,1,3,1,0,1,99.8,0.851994234,0.920833333,53.1,2507.0,136.0,3.19,3.4,8.5,110.0,5500.0,25.0,15250.0
audi,std,four,sedan,fwd,front,ohc,five,mpfi,0,0,3,1,0,1,105.8,0.925997117,0.991666667,55.7,2844.0,136.0,3.19,3.4,8.5,110.0,5500.0,25.0,17710.0
audi,std,four,wagon,fwd,front,ohc,five,mpfi,0,0,4,1,0,1,105.8,0.925997117,0.991666667,55.7,2954.0,136.0,3.19,3.4,8.5,110.0,5500.0,25.0,18920.0
audi,turbo,four,sedan,fwd,front,ohc,five,mpfi,1,0,3,1,0,1,105.8,0.925997117,0.991666667,55.9,3086.0,131.0,3.13,3.4,8.3,140.0,5500.0,20.0,23875.0
bmw,std,two,sedan,rwd,front,ohc,four,mpfi,0,1,3,2,0,2,101.2,0.849591543,0.9,54.3,2395.0,108.0,3.5,2.8,8.8,101.0,5800.0,29.0,16430.0
bmw,std,four,sedan,rwd,front,ohc,four,mpfi,0,0,3,2,0,2,101.2,0.849591543,0.9,54.3,2395.0,108.0,3.5,2.8,8.8,101.0,5800.0,29.0,16925.0
bmw,std,two,sedan,rwd,front,ohc,six,mpfi,0,1,3,2,0,3,101.2,0.849591543,0.9,54.3,2710.0,164.0,3.31,3.19,9.0,121.0,4250.0,28.0,20970.0
bmw,std,four,sedan,rwd,front,ohc,six,mpfi,0,0,3,2,0,3,101.2,0.849591543,0.9,54.3,2765.0,164.0,3.31,3.19,9.0,121.0,4250.0,28.0,21105.0
bmw,std,four,sedan,rwd,front,ohc,six,mpfi,0,0,3,2,0,3,103.5,0.908217203,0.929166667,55.7,3055.0,164.0,3.31,3.19,9.0,121.0,4250.0,25.0,24565.0
chevrolet,std,two,hatchback,fwd,front,l,three,2bbl,0,1,2,1,0,4,88.4,0.678039404,0.8375,53.2,1488.0,61.0,2.91,3.03,9.5,48.0,5100.0,53.0,5151.0
chevrolet,std,two,hatchback,fwd,front,ohc,four,2bbl,0,1,2,1,0,2,94.5,0.749159058,0.883333333,52.0,1874.0,90.0,3.03,3.11,9.6,70.0,5400.0,43.0,6295.0
chevrolet,std,four,sedan,fwd,front,ohc,four,2bbl,0,0,3,1,0,2,94.5,0.763094666,0.883333333,52.0,1909.0,90.0,3.03,3.11,9.6,70.0,5400.0,43.0,6575.0
dodge,std,two,hatchback,fwd,front,ohc,four,2bbl,0,1,2,1,0,2,93.7,0.755886593,0.886111111,50.8,1876.0,90.0,2.97,3.23,9.41,68.0,5500.0,41.0,5572.0
dodge,std,two,hatchback,fwd,front,ohc,four,2bbl,0,1,2,1,0,2,93.7,0.755886593,0.886111111,50.8,1876.0,90.0,2.97,3.23,9.4,68.0,5500.0,38.0,6377.0
dodge,turbo,two,hatchback,fwd,front,ohc,four,mpfi,1,1,2,1,0,2,93.7,0.755886593,0.886111111,50.8,2128.0,98.0,3.03,3.39,7.6,102.0,5500.0,30.0,7957.0
dodge,std,four,hatchback,fwd,front,ohc,four,2bbl,0,0,2,1,0,2,93.7,0.755886593,0.886111111,50.6,1967.0,90.0,2.97,3.23,9.4,68.0,5500.0,38.0,6229.0
dodge,std,four,sedan,fwd,front,ohc,four,2bbl,0,0,3,1,0,2,93.7,0.755886593,0.886111111,50.6,1989.0,90.0,2.97,3.23,9.4,68.0,5500.0,38.0,6692.0
dodge,std,four,sedan,fwd,front,ohc,four,2bbl,0,0,3,1,0,2,93.7,0.755886593,0.886111111,50.6,1989.0,90.0,2.97,3.23,9.4,68.0,5500.0,38.0,7609.0
dodge,turbo,four,sedan,fwd,front,ohc,four,mpfi,1,0,3,1,0,2,93.7,0.755886593,0.886111111,50.6,2191.0,98.0,3.03,3.39,7.6,102.0,5500.0,30.0,8558.0
dodge,std,four,wagon,fwd,front,ohc,four,2bbl,0,0,4,1,0,2,103.3,0.839019702,0.897222222,59.8,2535.0,122.0,3.34,3.46,8.5,88.0,5000.0,30.0,8921.0
dodge,turbo,two,hatchback,fwd,front,ohc,four,mfi,1,1,2,1,0,2,95.9,0.832292167,0.920833333,50.2,2811.0,156.0,3.6,3.9,7.0,145.0,5000.0,24.0,12964.0
honda,std,two,hatchback,fwd,front,ohc,four,1bbl,0,1,2,1,0,2,86.6,0.694858241,0.8875,50.8,1713.0,92.0,2.91,3.41,9.6,58.0,4800.0,54.0,6479.0
honda,std,two,hatchback,fwd,front,ohc,four,1bbl,0,1,2,1,0,2,86.6,0.694858241,0.8875,50.8,1819.0,92.0,2.91,3.41,9.2,76.0,6000.0,38.0,6855.0
honda,std,two,hatchback,fwd,front,ohc,four,1bbl,0,1,2,1,0,2,93.7,0.720807304,0.888888889,52.6,1837.0,79.0,2.91,3.07,10.1,60.0,5500.0,42.0,5399.0
honda,std,two,hatchback,fwd,front,ohc,four,1bbl,0,1,2,1,0,2,93.7,0.720807304,0.888888889,52.6,1940.0,92.0,2.91,3.41,9.2,76.0,6000.0,34.0,6529.0
honda,std,two,hatchback,fwd,front,ohc,four,1bbl,0,1,2,1,0,2,93.7,0.720807304,0.888888889,52.6,1956.0,92.0,2.91,3.41,9.2,76.0,6000.0,34.0,7129.0
honda,std,four,sedan,fwd,front,ohc,four,1bbl,0,0,3,1,0,2,96.5,0.785199423,0.888888889,54.5,2010.0,92.0,2.91,3.41,9.2,76.0,6000.0,34.0,7295.0
